formula,Property Lattice parameter (a),Property Lattice parameter (a) units,Property Cell angle ($\gamma$),Property Cell angle ($\gamma$) units,Property Melting point,Property Melting point units,Property Crystal system,Property Lattice parameter (c),Property Lattice parameter (c) units,Property Cell angle ($\alpha$),Property Cell angle ($\alpha$) units,Property Lattice parameter (b),Property Lattice parameter (b) units,Property Cell angle ($\beta$),Property Cell angle ($\beta$) units,Property Space group number
K$_{1.4}$O$_{50}$P$_{4}$W$_{14}$,6.660(2),$\AA$,90,°,,,monoclinic,27.06(5),$\AA$,90,°,5.3483(3),$\AA$,97.20(2),$^\circ$,12
CoH$_{17}$N$_{8}$O$_{8}$,13.201(15),$\AA$,90,°,,,monoclinic,12.20(8),$\AA$,90,°,7.813(4),$\AA$,108.72,°,9
Ge$_{2}$Nd$_{2}$O$_{7}$,37.6093(99),$\AA$,95.150(16),$^\circ$,,,triclinic,6.9234(12),$\AA$,91.456(13),$^\circ$,6.9222(3),$\AA$,90.728(17),$^\circ$,2
Cs$_{3}$Nb$_{5.96}$O$_{16.4}$,18.315(3),$\AA$,90,°,,,orthorhombic,7.296(2),$\AA$,90,°,24.506(4),$\AA$,90,°,63
O$_{3}$Sn$_{0.3}$W,12.25,$\AA$,90,°,,,tetragonal,3.83,$\AA$,90,°,12.25,$\AA$,90,°,127
Dy$_{5}$O$_{12}$Re$_{2}$,12.425(8),$\AA$,107.8(2),$^\circ$,,,monoclinic,5.653(5),$\AA$,90,°,7.511(5),$\AA$,90,°,11
Al$_{11}$LaMnO$_{19}$,5.574,$\AA$,120,°,,,hexagonal,22.008,$\AA$,90,°,5.574,$\AA$,90,°,194
Al$_{11.95}$La$_{0.9}$O$_{18.9}$,5.577,$\AA$,120,°,,,hexagonal,22.003,$\AA$,90,°,5.577,$\AA$,90,°,194
Al$_{11.5}$La$_{0.85}$O$_{18.5}$,5.55,$\AA$,120,°,,,hexagonal,22.021,$\AA$,90,°,5.55,$\AA$,90,°,194
Al$_{11.55}$La$_{0.85}$O$_{18.6}$,5.55,$\AA$,120,°,,,hexagonal,22.031,$\AA$,90,°,5.55,$\AA$,90,°,194
CoNiO$_{4}$V,8.361,$\AA$,90,°,,,,8.361,$\AA$,90,°,8.361,$\AA$,90,°,
CdH$_{2}$Nb$_{2}$O$_{7}$,10.443(5),$\AA$,90,°,,,cubic,10.443(5),$\AA$,90,°,10.443(5),$\AA$,90,°,227
Ca$_{0.4}$H$_{3.2}$Nb$_{2}$O$_{7}$,10.512(5),$\AA$,90,°,,,cubic,10.512(5),$\AA$,90,°,10.512(5),$\AA$,90,°,227
H$_{3.2}$Nb$_{2}$O$_{7}$Sr$_{0.4}$,10.560(5),$\AA$,90,°,,,cubic,10.560(5),$\AA$,90,°,10.560(5),$\AA$,90,°,227
CdH$_{2}$O$_{7}$Ta$_{2}$,10.433(5),$\AA$,90,°,,,cubic,10.433(5),$\AA$,90,°,10.433(5),$\AA$,90,°,227
Ca$_{0.5}$H$_{3}$O$_{7}$Ta$_{2}$,10.478(5),$\AA$,90,°,,,cubic,10.478(5),$\AA$,90,°,10.478(5),$\AA$,90,°,227
H$_{3.5}$O$_{7}$Sr$_{0.25}$Ta$_{2}$,10.554(5),$\AA$,90,°,,,cubic,10.554(5),$\AA$,90,°,10.554(5),$\AA$,90,°,227
Ba$_{2}$Nb$_{4}$O$_{18}$Ti$_{3}$,10.000(3),$\AA$,90,°,,,monoclinic,7.315(2),$\AA$,90,°,9.959(3),$\AA$,111.29(2),$^\circ$,14
Nb$_{2}$O$_{7}$Ti,20.351(3),$\AA$,90,°,,,monoclinic,11.882(2),$\AA$,90,°,3.801(2),$\AA$,120.19(1),$^\circ$,12
Na$_{1.5}$O$_{32}$P$_{4}$W$_{8}$,17.788(11),$\AA$,90,°,,,monoclinic,6.607(5),$\AA$,90,°,5.277(4),$\AA$,99.64(5),$^\circ$,14
Na$_{1.7}$O$_{44}$P$_{4}$W$_{12}$,23.775(17),$\AA$,90,°,,,monoclinic,6.588(2),$\AA$,90,°,5.291(1),$\AA$,93.47(4),$^\circ$,14
Ba$_{0.15}$O$_{3}$W,8.859(3),$\AA$,90,°,,,orthorhombic,3.808(2),$\AA$,90,°,10.039(8),$\AA$,90,°,51
BaK$_{4}$O$_{26}$Si$_{4}$Ta$_{6}$,9.047,$\AA$,120,°,,,hexagonal,7.81,$\AA$,90,°,9.047,$\AA$,90,°,189
Ba$_{1.5}$K$_{3}$O$_{26}$Si$_{4}$Ta$_{6}$,9.035,$\AA$,120,°,,,hexagonal,7.79,$\AA$,90,°,9.035,$\AA$,90,°,189
Ge$_{4}$K$_{10}$Nb$_{22}$O$_{68}$,9.112(5),$\AA$,120,°,,,hexagonal,20.01(1),$\AA$,90,°,9.112(5),$\AA$,90,°,189
Ba$_{3}$O$_{21}$Sb$_{4}$Ti$_{4}$,8.966(3),$\AA$,120,°,,,hexagonal,11.857(5),$\AA$,90,°,8.966(3),$\AA$,90,°,193
Nb$_{4}$O$_{21}$Sr$_{3}$Ti$_{4}$,8.992,$\AA$,120,°,,,hexagonal,11.605,$\AA$,90,°,8.992,$\AA$,90,°,193
O$_{21}$Sr$_{3}$Ta$_{4}$Ti$_{4}$,9.008,$\AA$,120,°,,,hexagonal,11.629,$\AA$,90,°,9.008,$\AA$,90,°,193
O$_{5}$TaTiTl,6.444(4),$\AA$,90,°,,,orthorhombic,18.86(1),$\AA$,90,°,3.801(1),$\AA$,90,°,62
Ba$_{3}$LiNb$_{3}$O$_{21}$Ti$_{5}$,9.072(4),$\AA$,120,°,,,hexagonal,11.670(8),$\AA$,90,°,9.072(4),$\AA$,90,°,193
Ba$_{3}$LiNb$_{3}$O$_{21}$Ti$_{5}$,9.072(4),$\AA$,120,°,,,hexagonal,11.670(8),$\AA$,90,°,9.072(4),$\AA$,90,°,193
Ba$_{3}$LiO$_{21}$Ta$_{3}$Ti$_{5}$,9.062(4),$\AA$,120,°,,,hexagonal,11.679(8),$\AA$,90,°,9.062(4),$\AA$,90,°,193
Ba$_{3}$LiO$_{21}$Sb$_{3}$Ti$_{5}$,8.978(4),$\AA$,120,°,,,hexagonal,11.815(8),$\AA$,90,°,8.978(4),$\AA$,90,°,193
Ba$_{0.45}$Na$_{1.7}$O$_{13}$Ti$_{5.85}$,15.183,$\AA$,90,°,,,monoclinic,9.143,$\AA$,90,°,3.783,$\AA$,98.7,°,12
ClCuHgS,9.844(5),$\AA$,90,°,,,orthorhombic,4.095(2),$\AA$,90,°,17.752(7),$\AA$,90,°,55
BrCuHgS,10.045(6),$\AA$,90,°,,,orthorhombic,4.128(2),$\AA$,90,°,18.320(1),$\AA$,90,°,55
Li$_{1.6}$O$_{8}$Sn$_{2.8}$Zn$_{1.6}$,6.067(4),$\AA$,120,°,,,hexagonal,9.880(8),$\AA$,90,°,6.067(4),$\AA$,90,°,186
Li$_{1.6}$Mg$_{1.6}$O$_{8}$Sn$_{2.8}$,6.077(4),$\AA$,120,°,,,hexagonal,9.829(8),$\AA$,90,°,6.077(4),$\AA$,90,°,186
Li$_{1.6}$O$_{8}$Sn$_{2.1}$Ti$_{0.7}$Zn$_{1.6}$,6.011(4),$\AA$,120,°,,,hexagonal,9.815(8),$\AA$,90,°,6.011(4),$\AA$,90,°,186
Cu$_{2}$La$_{2}$O$_{6}$Sr,3.865(2),$\AA$,90,°,,,tetragonal,19.887(4),$\AA$,90,°,3.865(2),$\AA$,90,°,139
Cu$_{2}$La$_{1.9}$O$_{5.95}$Sr$_{1.1}$,3.863(2),$\AA$,90,°,,,tetragonal,19.963(4),$\AA$,90,°,3.863(2),$\AA$,90,°,139
Ca$_{1.1}$Cu$_{2}$La$_{1.9}$O$_{5.95}$,3.825(2),$\AA$,90,°,,,tetragonal,19.404(4),$\AA$,90,°,3.825(2),$\AA$,90,°,139
As$_{3}$BrCd$_{2}$,8.286(1),$\AA$,90,°,,,monoclinic,7.987(2),$\AA$,90,°,9.408(2),$\AA$,101.3(2),$^\circ$,9
Cd$_{2}$IP$_{3}$,8.243(1),$\AA$,90,°,,,monoclinic,7.516(2),$\AA$,90,°,9.334(2),$\AA$,99.8(2),$^\circ$,9
BrCd$_{2}$P$_{3}$,8.077(1),$\AA$,90,°,,,monoclinic,7.534(3),$\AA$,90,°,9.088(2),$\AA$,100.3(2),$^\circ$,9
Cd$_{2}$ClP$_{3}$,7.969(1),$\AA$,90,°,,,monoclinic,7.554(2),$\AA$,90,°,8.984(2),$\AA$,100.8(1),$^\circ$,9
K$_{3}$O$_{21}$Ta$_{7}$Ti,9.086,$\AA$,120,°,,,hexagonal,12.054,$\AA$,90,°,9.086,$\AA$,90,°,193
Fe$_{0.5}$K$_{3}$O$_{21}$Ta$_{7.5}$,9.12,$\AA$,120,°,,,hexagonal,12.086,$\AA$,90,°,9.12,$\AA$,90,°,193
Ba$_{3}$O$_{21}$Ta$_{4}$Ti$_{4}$,9.024,$\AA$,120,°,,,hexagonal,11.79,$\AA$,90,°,9.024,$\AA$,90,°,193
Ba$_{3}$Fe$_{2}$O$_{21}$Ta$_{6}$,9.116,$\AA$,120,°,,,hexagonal,11.93,$\AA$,90,°,9.116,$\AA$,90,°,193
Ge$_{4}$K$_{6}$Nb$_{6}$O$_{26}$,9.188,$\AA$,120,°,,,hexagonal,8.123,$\AA$,90,°,9.188,$\AA$,90,°,189
Ba$_{3}$Nb$_{3.2}$O$_{21}$Ti$_{5}$,9.020(4),$\AA$,120,°,,,hexagonal,11.796(8),$\AA$,90,°,9.020(4),$\AA$,90,°,193
Ba$_{3}$O$_{21}$Ta$_{3.2}$Ti$_{5}$,9.017(4),$\AA$,120,°,,,hexagonal,11.820(8),$\AA$,90,°,9.017(4),$\AA$,90,°,193
NbO$_{9}$RbTi$_{3}$,6.407,$\AA$,90,°,,,orthorhombic,14.918,$\AA$,90,°,3.797,$\AA$,90,°,59
Ge$_{2}$N$_{2}$O,9.317(3),$\AA$,90,°,,,orthorhombic,5.105(1),$\AA$,90,°,5.752(1),$\AA$,90,°,36
Ge$_{2}$N$_{2}$O,9.315(3),$\AA$,90,°,,,orthorhombic,5.102(1),$\AA$,90,°,5.747(1),$\AA$,90,°,36
Ge$_{2}$N$_{2}$O,9.306(3),$\AA$,90,°,,,orthorhombic,5.097(1),$\AA$,90,°,5.742(1),$\AA$,90,°,36
Ge$_{2}$N$_{2}$O,9.298(3),$\AA$,90,°,,,orthorhombic,5.092(1),$\AA$,90,°,5.736(1),$\AA$,90,°,36
Ge$_{2}$N$_{2}$O,9.287(3),$\AA$,90,°,,,orthorhombic,5.089(1),$\AA$,90,°,5.731(2),$\AA$,90,°,36
Ge$_{2}$N$_{2}$O,9.274(3),$\AA$,90,°,,,orthorhombic,5.085(1),$\AA$,90,°,5.727(2),$\AA$,90,°,36
Ge$_{2}$N$_{2}$O,9.266(3),$\AA$,90,°,,,orthorhombic,5.080(1),$\AA$,90,°,5.720(2),$\AA$,90,°,36
Ge$_{2}$N$_{2}$O,9.259(4),$\AA$,90,°,,,orthorhombic,5.075(1),$\AA$,90,°,5.714(2),$\AA$,90,°,36
Ge$_{2}$N$_{2}$O,9.261(4),$\AA$,90,°,,,orthorhombic,5.074(1),$\AA$,90,°,5.707(2),$\AA$,90,°,36
Ge$_{2}$N$_{2}$O,9.254(4),$\AA$,90,°,,,orthorhombic,5.073(2),$\AA$,90,°,5.699(2),$\AA$,90,°,36
Ge$_{2}$N$_{2}$O,9.247(4),$\AA$,90,°,,,orthorhombic,5.072(2),$\AA$,90,°,5.689(2),$\AA$,90,°,36
O$_{3}$Sn$_{0.26}$W,12.25,$\AA$,90,°,,,tetragonal,3.83,$\AA$,90,°,12.25,$\AA$,90,°,127
As$_{0.5}$Cd$_{1.5}$I$_{1.5}$,4.466(3),$\AA$,120,°,,,hexagonal,7.302(8),$\AA$,90,°,4.466(3),$\AA$,90,°,186
Cd$_{1.5}$I$_{1.5}$P$_{0.5}$,4.422(9),$\AA$,120,°,,,hexagonal,7.24(1),$\AA$,90,°,4.422(9),$\AA$,90,°,186
As$_{1.5}$Cd$_{4}$I$_{3}$P$_{0.5}$,12.955(5),$\AA$,90,°,,,cubic,12.955(5),$\AA$,90,°,12.955(5),$\AA$,90,°,205
AsCd$_{4}$I$_{3}$P,12.884(5),$\AA$,90,°,,,cubic,12.884(5),$\AA$,90,°,12.884(5),$\AA$,90,°,205
As$_{0.5}$Cd$_{4}$I$_{3}$P$_{1.5}$,12.843(5),$\AA$,90,°,,,cubic,12.843(5),$\AA$,90,°,12.843(5),$\AA$,90,°,205
AsBr$_{3}$Cd$_{4}$P,12.521(2),$\AA$,90,°,,,cubic,12.521(2),$\AA$,90,°,12.521(2),$\AA$,90,°,205
Ag$_{10}$H$_{20}$O$_{88}$Ta$_{29.2}$,7.52,$\AA$,120,°,,,hexagonal,36.45,$\AA$,90,°,7.52,$\AA$,90,°,194
Nb$_{29.2}$O$_{78}$Tl$_{10}$,7.532,$\AA$,120,°,,,hexagonal,36.42,$\AA$,90,°,7.532,$\AA$,90,°,194
H$_{2}$N$_{2}$S$_{22}$,10.883,$\AA$,90,°,,,monoclinic,10.674,$\AA$,90,°,10.73,$\AA$,95.67,°,14
BaCuNd$_{2}$O$_{5}$,6.695(1),$\AA$,90,°,,,tetragonal,5.819(2),$\AA$,90,°,6.695(1),$\AA$,90,°,127
O$_{8}$PbRe$_{2}$,11.276(5),$\AA$,120,°,,,trigonal,4.593(3),$\AA$,90,°,11.276(5),$\AA$,90,°,157
CoF$_{6}$H$_{6}$NpO$_{3}$,12.119(4),$\AA$,90,°,,,monoclinic,7.928(3),$\AA$,90,°,6.908(3),$\AA$,92.84,°,5
Br$_{6}$H$_{24}$MgMn$_{2}$O$_{12}$,13.477(15),$\AA$,90,°,,,monoclinic,8.428(2),$\AA$,90,°,10.031(8),$\AA$,110.966,°,12
CsO$_{40}$P$_{8}$W$_{8}$,13.061(1),$\AA$,90,°,,,orthorhombic,5.2960(5),$\AA$,90,°,12.319(1),$\AA$,90,°,62
F$_{12}$H$_{2}$Np$_{3}$O,12.023(5),$\AA$,90,°,,,monoclinic,8.435(4),$\AA$,90,°,11.723(5),$\AA$,128.77(2),$^\circ$,8
O$_{64}$P$_{8}$Rb$_{2}$W$_{16}$,10.181(6),$\AA$,90,°,,,monoclinic,17.156(4),$\AA$,90,°,7.519(1),$\AA$,113.32(3),$^\circ$,12
CsMo$_{3}$O$_{25}$P$_{5.8}$Si$_{2}$,8.2642(5),$\AA$,120,°,,,trigonal,17.559(2),$\AA$,90,°,8.2642(5),$\AA$,90,°,163
O$_{11}$PW$_{3}$,5.2927(7),$\AA$,90,°,,,orthorhombic,23.549(3),$\AA$,90,°,6.5604(7),$\AA$,90,°,19
O$_{14}$PW$_{4}$,5.2943(5),$\AA$,90,°,,,orthorhombic,29.700(4),$\AA$,90,°,6.5534(4),$\AA$,90,°,19
Cs$_{0.75}$K$_{0.25}$NbO$_{11}$TiU$_{2}$,7.630(2),$\AA$,90,°,,,orthorhombic,13.609(3),$\AA$,90,°,10.923(2),$\AA$,90,°,63
CsNbO$_{6}$U,7.430(1),$\AA$,90,°,,,monoclinic,10.668(2),$\AA$,90,°,8.700(1),$\AA$,105.08(1),$^\circ$,14
